,treat_logFC_target,treat_logFC_NCS
387,HMGN5,-3.06762035772346
388,ACTA1,2.98208869938834
389,ATP2A2,3.4868894348073196
390,RRP1B,2.71480037807441
391,L1CAM,3.31319421814603
392,ANO1,4.646303430233861
393,GPR18,-2.65300463449056
394,MGST2,2.3777681451947297
395,POLR1A,-3.5396924887739503
396,GABBR1,-2.71806642062158
397,BAZ2B,-3.18109011828322
398,KPNB1,-3.04762598492926
399,ARNTL,4.82056031676605
400,APOB,3.15721366174659
401,SOX10,2.60429457016506
402,SOX11,-3.46537702068898
403,CETN2,2.6391632091332404
404,SCN11A,-3.71310781515867
405,FBXL12,-3.3506469874218396
406,HRH1,3.2283900747928302
407,GTF2I,2.97262299962546
408,GRM2,-3.73433712116449
409,GRM3,-4.2218796357474
410,KCNQ2,2.6341045410936297
411,KCNQ3,2.8190785828449796
412,COL4A2,2.99063097830536
413,GRN,3.59742000988954
414,GDI1,4.87973407705446
415,BNIP1,-2.4420699896549403
416,ING2,3.5849202216020095
417,ING3,3.10975252653109
418,GYS1,-2.8019711658351203
419,PSIP1,-3.57786490336174
420,SGK1,4.01013460318686
421,PSMD10,-2.8743551697878
422,GPX1,-3.74977668176692
423,FRAT1,3.34955063875686
424,PRDM7,5.2709053071867
425,ANPEP,3.85751957289748
426,GFPT2,3.4470939147675597
427,NMI,3.43626569994613
428,NAB2,4.67286545678437
429,SOAT1,3.5634578663881005
430,SESN1,3.12302356833781
431,SMAD4,4.38245514910733
432,SMAD6,-3.2702357121682204
433,SMAD1,-3.12864893385962
434,SMAD3,-2.81098782027462
435,REN,3.2883628334727995
436,RORA,4.47006082228157
437,AKAP11,2.6398002902639197
438,CTH,2.58764395889403
439,MAP4K4,3.8556194417001097
440,NCOA2,3.90330089882832
441,NCOA3,4.24053827227274
442,ITPR1,2.4556461716121296
443,SLC36A4,-3.96783298859473
444,CKS1B,4.56944774846497
445,P2RY12,3.29792837767788
446,PSMD5,-3.0023556358211403
447,ACAT2,4.39278786613339
448,SKIV2L,4.45855555675199
449,DDB2,4.56203035836086
450,PTTG1,2.7319506951728902
451,GGH,-2.3786969259368
452,P4HTM,2.7349733261754303
453,LARS,3.13466795243638
454,NAT1,3.97184897953488
455,RXRG,-3.1856572530736695
456,SULT1A1,-6.007837867899389
457,NASP,3.8328739982938
458,NFRKB,-4.64797501162928
459,NOL3,4.956419256060849
460,GPR152,2.59350493060536
461,GPR151,-4.06534029206893
462,BDKRB2,-4.1515780761748395
463,AK1,-3.24436230492315
464,GPR158,2.4492017807194997
465,SLC25A28,3.73102841929767
466,ABCA1,2.49672598057882
467,NPC1L1,3.6907661894155495
468,CDC42,2.9768982606880803
469,ERBB2,2.71534688495944
470,PSMD9,4.17881568567815
471,PSMD8,-5.35912145448708
472,HMGB3,3.31765046454713
473,BAX,-2.73220167493252
474,PLCG1,2.6260077368644197
475,NGFR,-3.43184450809925
476,ABAT,-3.34553749619308
477,GYG1,2.9964917115592002
478,SIM2,4.169733934450069
479,PMPCB,3.6401548626855997
480,RDH8,-2.9657123592987102
481,EIF2S1,-2.6356869553570403
482,CDK10,-2.7506172835132903
483,RDH5,-2.9838862606410896
484,CXCR2,-2.44846487235982
485,PGR,4.48968381938585
486,CDCA4,3.6526806596988397
487,CXCR4,-3.50845585690309
488,RYBP,-2.4139439356082995
489,CNOT7,3.0781220790097796
490,CNOT4,-3.5648430811887097
491,ITGB1,-2.98265445223885
492,ALDH3B2,-2.56433448270867
493,CA14,-4.0369233597542
494,CD40,3.77895697506086
495,POLRMT,-2.82836159236985
496,ATG4D,2.83495745099425
497,PLA2G4A,3.56813305164039
498,PPP2R5E,-2.95065787606967
