"","Model","XKA"
"COPS7A",-0.0382128348108798,0.397613368889252
"PPP1R3B",-0.194627736472758,1.02572621796314
"SRP54",-1.94387554814787,1.06687399536454
"NUDT15",0.180821510623809,0.432048440264438
"TFPI2",0.563370528702349,-0.437240303906607
"UVRAG",0.291916178869992,0.384223330934259
"TOX2",1.84994716450619,-1.04985869681524
"BOK",0.10452031754137,-0.693941372826013
"PNPLA7",1.16941223680058,-0.876551310543469
"PCYOX1L",0.628283678691076,-1.01634728712954
"SUMO3",0.255311809327992,-0.413815067634676
"PTGIR",-0.538832999062386,0.893267876908093
"MRPL15",-0.633857866097512,0.3853557293842
"NANOG",-2.0867385107602,2.34512437367111
"LARP4B",-0.644052252192541,0.41263265217304
"B4GALT3",-0.0754597478535211,0.406276995588845
"EBF4",1.62673595695286,-1.58793320942137
"C1QC",0.384659078830539,-0.548854806972022
"CPVL",-1.29276117042346,2.20579076334573
"C2orf80",0.659323084064705,-2.76542746152277
"LPL",0.331681633168795,-1.49047714937766
"TCP1",-0.0694676648155836,0.305289705765665
"MKI67",2.04057351538295,-2.72565662790133
"PXMP4",0.30458124577784,-0.478893964410538
"ABCA8",-0.0909386948660141,-0.469213599161612
"TOR1A",-0.218610529124428,0.438036756574178
"ZSWIM5",0.174241620974145,-0.392028522535535
"NPNT",3.32819997361618,-1.74122442229698
"ARL13B",-0.0595409392645542,0.49865128412517
"PRPF39",-0.50097948277982,0.331998682101006
"PLCB1",0.247430436640306,0.49557393922615
"DDC",0.532546364530647,-1.08581842750719
"ABCG2",1.28704523944235,-0.436244369862148
"STX2",0.863995764749776,-0.435724486038358
"C3AR1",0.474401708868636,-0.924061975516275
"HARS",-0.727386813001624,0.382267500862114
"PLK3",-0.252768174769198,0.924548956409284
"AKAP11",-0.341276076010594,0.434368770816607
"SLC7A8",0.146610159179833,-0.897773013232272
"ADCK3",-0.238416340094758,-0.85058868105059
"NGF",-0.698008866150775,-1.49192292100231
"C1QB",0.0717798267763938,-0.584271318043589
"SMYD3",0.755040849784404,-0.501100820158196
"PUS7",-0.130507817002173,0.429351712026939
"CABP7",-0.860382934089462,2.12543668716513
"TEF",0.134990994025935,0.484175059973813
"MAPRE1",0.310820649733849,-0.343226498205648
"ACOT1",-1.51348839803718,2.32360152143565
"ALDH1B1",0.0349378469275769,-0.748408694451934
"HSD3B7",0.0178857854860605,-0.372300263978833
"AGPAT1",-0.376010208484938,0.689933666715894
"CCDC91",0.71527147625567,-0.41526014944017
"KPNA4",0.405687418772314,-0.33126909558572
"TEX9",0.379100382489303,-0.667967993912738
"ANO1",0.623384435263905,-0.720496766017269
"EXOC6B",0.576684909926005,-0.684206124815515
"PER3",0.312364906177805,0.960937773168689
"KIAA1143",0.409500354106495,0.343248767816111
"TMEM180",0.601171530383809,-0.612083897833902
"SLC46A1",0.710491522169637,-0.591027179291832
"DAZ2",1.36118008836025,-2.28327995854166
"HPRT1",0.903981721726447,-0.353237529988155
"TBCK",0.470566677859867,-0.468275990734098
"EXOC4",1.11762595646948,-0.461193461563995
"PLCH1",1.77077803215532,-0.875532025582107
"KCNJ15",0.198726068344078,-1.50926123687728
"ZNF471",0.0956740021714783,-1.20122642265724
"STAT5A",0.512191990588585,-0.462464767900043
"CARD10",0.00787078566147367,-0.659485069445104
"PPP1R3C",0.361055126725251,-0.630693899415278
"ARHGAP21",-0.403129868061681,0.485807641102066
"PLVAP",0.404913449776487,-0.528473465317085
"TREH",3.39734326577746,-1.35261733142804
"TLN2",0.43153567988598,-0.520748914720141
"TNRC6A",-0.647207347052986,0.356906710304777
"DIO1",1.4209633791487,-0.607881800244147
"CPSF4L",-0.045699689389037,0.600400458177517
"FADS1",-1.02828687658987,0.508140325232042
"PRLR",-1.69577896100107,0.974430754210709
"YY1",-0.330252438386013,0.375635767146269
"AS3MT",-1.37418730958246,0.534755684122972
"THAP2",0.0766712272023636,0.520698761041426
"XPO7",0.135330858903187,0.317302479947695
